Player,Kind,GradingA,GradingB,GradingC,GradingD
38174543864515,terrier,4,3,7,5
459819203408978,hound,3,6,4,7
137619579400459,terrier,7,4,7,4
835804561913525,hound,4,7,4,7
42404690668940,terrier,5,3,7,7
277030367725057,hound,1,5,1,6
153498218008918,hound,6,7,4,7
951034904396380,terrier,6,4,7,4
362421570668147,terrier,7,4,7,3
916659229295256,hound,5,7,5,7
322563841246444,hound,5,6,4,7
864237546831637,terrier,5,5,5,5
133644391566106,terrier,6,3,7,3
56585762474570,hound,5,7,4,7
32111755046981,hound,5,6,4,6
696092780970702,terrier,6,3,6,3
845030447613389,terrier,6,4,7,5
101017895939220,terrier,6,4,7,4
833437527724022,hound,5,7,6,7
21409433577947,terrier,7,7,1,7
281417746344637,hound,2,5,2,5
943864992920336,hound,6,7,7,7
402371639059063,terrier,5,3,6,4
235859731771768,terrier,6,3,7,2
522058605648886,hound,4,7,4,7
874807326893128,terrier,7,5,7,4
760791662383499,hound,4,5,4,5
563859218939246,hound,6,7,6,7
939838105107843,terrier,5,4,6,4
180672638373464,hound,1,7,1,7
919215741319732,terrier,4,3,6,4
512381829158551,hound,5,7,5,7
123795257479166,terrier,6,4,7,5
843798347728775,terrier,4,3,5,4
849465825727611,hound,4,6,4,6
355721802475635,hound,6,7,6,7
781261847597636,terrier,4,5,4,6
563641349706418,terrier,7,6,7,4
668507302070680,hound,5,7,2,7
