Raza;Kind;Reporte;Player
hound;B;6;696092780970702
hound;B;7;133644391566106
hound;B;7;951034904396380
hound;B;7;919215741319732
hound;B;5;42404690668940
hound;B;5;21409433577947
hound;B;6;864237546831637
hound;B;7;781261847597636
hound;B;6;38174543864515
hound;B;7;123795257479166
hound;B;7;235859731771768
hound;B;7;939838105107843
hound;B;7;563641349706418
hound;B;5;874807326893128
hound;B;7;101017895939220
hound;B;7;137619579400459
hound;B;6;843798347728775
hound;B;7;362421570668147
hound;B;7;402371639059063
terrier;A;7;281417746344637
terrier;A;4;459819203408978
terrier;A;5;277030367725057
terrier;A;6;833437527724022
terrier;A;6;512381829158551
terrier;A;6;56585762474570
terrier;A;7;835804561913525
terrier;A;6;522058605648886
terrier;A;7;916659229295256
terrier;A;5;943864992920336
terrier;A;7;668507302070680
terrier;A;6;32111755046981
terrier;A;4;355721802475635
terrier;A;4;849465825727611
terrier;A;6;765625247183286
terrier;A;5;322563841246444
terrier;A;7;760791662383499
terrier;A;4;180672638373464
terrier;A;5;563859218939246
terrier;A;6;153498218008918
hound;D;6;696092780970702
hound;D;7;133644391566106
hound;D;7;951034904396380
hound;D;7;919215741319732
hound;D;6;42404690668940
hound;D;5;21409433577947
hound;D;7;864237546831637
hound;D;7;781261847597636
hound;D;7;38174543864515
hound;D;7;123795257479166
hound;D;7;235859731771768
hound;D;7;939838105107843
hound;D;7;563641349706418
hound;D;5;874807326893128
hound;D;7;101017895939220
hound;D;7;137619579400459
hound;D;6;843798347728775
hound;D;7;362421570668147
hound;D;7;402371639059063
terrier;C;1;281417746344637
terrier;C;7;459819203408978
terrier;C;7;277030367725057
terrier;C;7;833437527724022
terrier;C;7;512381829158551
terrier;C;7;56585762474570
terrier;C;7;835804561913525
terrier;C;7;522058605648886
terrier;C;7;916659229295256
terrier;C;6;943864992920336
terrier;C;7;668507302070680
terrier;C;6;32111755046981
terrier;C;4;355721802475635
terrier;C;5;849465825727611
terrier;C;7;765625247183286
terrier;C;5;322563841246444
terrier;C;7;760791662383499
terrier;C;6;180672638373464
terrier;C;6;563859218939246
terrier;C;7;153498218008918
