Dyad,Player,Stage,Round,Contador,Perro,Rotulo,suposicion,siNo
68296-79181,682968760587133,2,1,2,Perro1,A,Nada,-
68296-79181,682968760587133,2,1,2,Perro2,A,Nada,-
68296-79181,682968760587133,2,1,2,Perro3,A,Nada,-
68296-79181,682968760587133,2,1,2,Perro4,A,Nada,-
68296-79181,682968760587133,2,1,2,Perro5,A,Nada,-
68296-79181,682968760587133,2,2,2,Perro1,A,Nada,-
68296-79181,682968760587133,2,2,2,Perro3,A,Nada,-
68296-79181,791815414804861,2,2,2,Perro2,B,Nada,-
68296-79181,791815414804861,2,2,2,Perro4,B,Nada,-
68296-79181,791815414804861,2,2,2,Perro5,B,Nada,-
68296-79181,791815414804861,2,3,2,Perro1,B,Nada,-
68296-79181,791815414804861,2,3,2,Perro2,B,Nada,-
68296-79181,682968760587133,2,3,2,Perro5,A,Nada,-
68296-79181,791815414804861,2,3,2,Perro3,B,Nada,-
68296-79181,791815414804861,2,3,2,Perro4,B,Nada,-
68296-79181,682968760587133,2,4,2,Perro1,A,A,-
68296-79181,682968760587133,2,4,2,Perro5,A,Nada,-
68296-79181,791815414804861,2,4,2,Perro2,B,Nada,-
68296-79181,791815414804861,2,4,2,Perro4,B,Nada,-
68296-79181,682968760587133,2,5,2,Perro3,A,Nada,-
68296-79181,682968760587133,2,5,2,Perro5,C,Nada,-
68296-79181,791815414804861,2,5,2,Perro1,A,Nada,-
68296-79181,791815414804861,2,5,2,Perro2,A,Nada,-
68296-79181,791815414804861,2,5,2,Perro4,B,Nada,-
68296-79181,791815414804861,2,5,2,Perro1,B,Nada,-
68296-79181,791815414804861,2,5,2,Perro2,B,Nada,-
68296-79181,791815414804861,2,6,2,Perro1,B,Nada,-
68296-79181,791815414804861,2,6,2,Perro2,B,Nada,-
68296-79181,791815414804861,2,6,2,Perro3,B,Nada,-
68296-79181,791815414804861,2,6,2,Perro4,B,Nada,-
68296-79181,682968760587133,2,6,2,Perro5,A,Nada,-
68296-79181,682968760587133,2,7,2,Perro3,A,Nada,-
68296-79181,682968760587133,2,7,2,Perro4,A,Nada,-
68296-79181,791815414804861,2,7,2,Perro1,B,B,-
68296-79181,791815414804861,2,7,2,Perro2,B,B,-
68296-79181,791815414804861,2,7,2,Perro5,B,B,-
68296-79181,791815414804861,2,7,2,Perro1,B,B,-
68296-79181,682968760587133,2,8,2,Perro1,A,A,-
68296-79181,791815414804861,2,8,2,Perro2,B,Nada,-
68296-79181,682968760587133,2,8,2,Perro3,A,A,-
68296-79181,682968760587133,2,8,2,Perro4,A,A,-
68296-79181,682968760587133,2,8,2,Perro5,A,A,-
68296-79181,682968760587133,2,9,2,Perro1,A,Nada,-
68296-79181,682968760587133,2,9,2,Perro2,A,Nada,-
68296-79181,682968760587133,2,9,2,Perro3,A,Nada,-
68296-79181,682968760587133,2,9,2,Perro4,A,Nada,-
68296-79181,682968760587133,2,9,2,Perro5,A,Nada,-
68296-79181,791815414804861,2,10,2,Perro2,B,B,-
68296-79181,791815414804861,2,10,2,Perro4,B,B,-
68296-79181,791815414804861,2,10,2,Perro5,B,B,-
68296-79181,682968760587133,2,10,2,Perro1,A,A,-
68296-79181,682968760587133,2,10,2,Perro3,A,A,-
