Dyad,Player,Stage,Round,Object,Label
71880-15464,718801276637245,1,1,D15.jpg,Nada
71880-15464,718801276637245,1,1,D20.jpg,Nada
71880-15464,718801276637245,1,1,D21.jpg,Nada
71880-15464,718801276637245,1,1,B24.jpg,Nada
71880-15464,718801276637245,1,1,B4.jpg,Nada
71880-15464,154641966004436,1,1,C20.jpg,Nada
71880-15464,154641966004436,1,1,A3.jpg,Nada
71880-15464,154641966004436,1,1,C12.jpg,Nada
71880-15464,154641966004436,1,1,C8.jpg,Nada
71880-15464,154641966004436,1,1,A17.jpg,Nada
68296-79181,682968760587133,1,1,B6.jpg,B
68296-79181,682968760587133,1,1,B15.jpg,D
68296-79181,682968760587133,1,1,D9.jpg,B
68296-79181,682968760587133,1,1,B8.jpg,D
68296-79181,682968760587133,1,1,D1.jpg,B
68296-79181,791815414804861,1,1,A20.jpg,A
68296-79181,791815414804861,1,1,A3.jpg,C
68296-79181,791815414804861,1,1,C11.jpg,C
68296-79181,791815414804861,1,1,C10.jpg,C
68296-79181,791815414804861,1,1,A18.jpg,A
68296-79181,682968760587133,1,2,B15.jpg,B
68296-79181,682968760587133,1,2,D13.jpg,B
68296-79181,682968760587133,1,2,D2.jpg,D
68296-79181,682968760587133,1,2,D7.jpg,D
68296-79181,682968760587133,1,2,B24.jpg,B
68296-79181,791815414804861,1,2,A18.jpg,A
68296-79181,791815414804861,1,2,A23.jpg,C
68296-79181,791815414804861,1,2,C18.jpg,C
68296-79181,791815414804861,1,2,C8.jpg,C
68296-79181,791815414804861,1,2,A8.jpg,A
68296-79181,682968760587133,1,3,D8.jpg,D
68296-79181,682968760587133,1,3,D4.jpg,D
68296-79181,682968760587133,1,3,D19.jpg,B
68296-79181,682968760587133,1,3,B4.jpg,B
68296-79181,682968760587133,1,3,D7.jpg,D
68296-79181,791815414804861,1,3,A5.jpg,A
68296-79181,791815414804861,1,3,A23.jpg,A
68296-79181,791815414804861,1,3,A10.jpg,A
68296-79181,791815414804861,1,3,C4.jpg,C
68296-79181,791815414804861,1,3,C19.jpg,C
68296-79181,682968760587133,1,4,B1.jpg,B
68296-79181,682968760587133,1,4,D13.jpg,D
68296-79181,682968760587133,1,4,B18.jpg,B
68296-79181,682968760587133,1,4,B16.jpg,B
68296-79181,682968760587133,1,4,B8.jpg,D
68296-79181,791815414804861,1,4,C21.jpg,A
68296-79181,791815414804861,1,4,A20.jpg,A
68296-79181,791815414804861,1,4,C18.jpg,C
68296-79181,791815414804861,1,4,A21.jpg,C
68296-79181,791815414804861,1,4,A10.jpg,A
68296-79181,682968760587133,1,5,D3.jpg,D
68296-79181,682968760587133,1,5,B18.jpg,B
68296-79181,682968760587133,1,5,B7.jpg,B
68296-79181,682968760587133,1,5,D6.jpg,D
68296-79181,682968760587133,1,5,D16.jpg,D
68296-79181,791815414804861,1,5,C7.jpg,C
68296-79181,791815414804861,1,5,A2.jpg,C
68296-79181,791815414804861,1,5,C4.jpg,C
68296-79181,791815414804861,1,5,A10.jpg,A
68296-79181,791815414804861,1,5,C17.jpg,A
68296-79181,682968760587133,1,6,B19.jpg,B
68296-79181,682968760587133,1,6,B18.jpg,B
68296-79181,682968760587133,1,6,B9.jpg,B
68296-79181,682968760587133,1,6,D23.jpg,D
68296-79181,682968760587133,1,6,B12.jpg,B
68296-79181,791815414804861,1,6,C23.jpg,C
68296-79181,791815414804861,1,6,C7.jpg,C
68296-79181,791815414804861,1,6,A24.jpg,A
68296-79181,791815414804861,1,6,C9.jpg,C
68296-79181,791815414804861,1,6,A8.jpg,A
68296-79181,682968760587133,1,7,D22.jpg,B
68296-79181,682968760587133,1,7,D5.jpg,B
68296-79181,682968760587133,1,7,D13.jpg,D
68296-79181,682968760587133,1,7,D21.jpg,B
68296-79181,682968760587133,1,7,D3.jpg,D
68296-79181,791815414804861,1,7,C23.jpg,C
68296-79181,791815414804861,1,7,C17.jpg,A
68296-79181,791815414804861,1,7,C20.jpg,A
68296-79181,791815414804861,1,7,A15.jpg,A
68296-79181,791815414804861,1,7,A13.jpg,C
68296-79181,682968760587133,1,8,D14.jpg,D
68296-79181,682968760587133,1,8,D4.jpg,D
68296-79181,682968760587133,1,8,D11.jpg,B
68296-79181,682968760587133,1,8,B23.jpg,B
68296-79181,682968760587133,1,8,B10.jpg,D
68296-79181,791815414804861,1,8,A23.jpg,A
68296-79181,791815414804861,1,8,C20.jpg,C
68296-79181,791815414804861,1,8,A13.jpg,C
68296-79181,791815414804861,1,8,A7.jpg,C
68296-79181,791815414804861,1,8,C21.jpg,A
68296-79181,682968760587133,1,9,D11.jpg,D
68296-79181,682968760587133,1,9,D22.jpg,D
68296-79181,682968760587133,1,9,B8.jpg,B
68296-79181,682968760587133,1,9,B14.jpg,B
68296-79181,682968760587133,1,9,B10.jpg,D
68296-79181,791815414804861,1,9,C19.jpg,C
68296-79181,791815414804861,1,9,C9.jpg,C
68296-79181,791815414804861,1,9,A11.jpg,A
68296-79181,791815414804861,1,9,C18.jpg,C
68296-79181,791815414804861,1,9,C7.jpg,C
68296-79181,682968760587133,1,10,D4.jpg,D
68296-79181,682968760587133,1,10,B10.jpg,B
68296-79181,682968760587133,1,10,B23.jpg,B
68296-79181,682968760587133,1,10,D17.jpg,D
68296-79181,682968760587133,1,10,B21.jpg,B
68296-79181,791815414804861,1,10,C10.jpg,A
68296-79181,791815414804861,1,10,C16.jpg,A
68296-79181,791815414804861,1,10,A12.jpg,A
68296-79181,791815414804861,1,10,C3.jpg,A
68296-79181,791815414804861,1,10,C4.jpg,A
45032-23304,450320312699251,1,1,B2.jpg,Nada
45032-23304,450320312699251,1,1,D23.jpg,Nada
45032-23304,450320312699251,1,1,D2.jpg,Nada
45032-23304,450320312699251,1,1,D6.jpg,Nada
45032-23304,450320312699251,1,1,B22.jpg,Nada
45032-23304,233047668297160,1,1,A3.jpg,Nada
45032-23304,233047668297160,1,1,A12.jpg,Nada
45032-23304,233047668297160,1,1,C7.jpg,Nada
45032-23304,233047668297160,1,1,C21.jpg,Nada
45032-23304,233047668297160,1,1,C8.jpg,Nada
