Dyad,Player,Genero,Edad,Carrera,Estrategia,Mensajes,Categoria
91186-84550,911861390465713,1,0,5,2,['4'],['0']
91186-84550,845503612774143,1,7,4,2,"['0', '2']","['1', '3']"
64059-72731,640595354579212,1,0,4,1,['4'],['4']
64059-72731,72731606454276,0,0,5,1,"['2', '0']","['1', '3', '2']"
55454-17702,554544630998635,1,0,6,1,"['1', '0']",['2']
55454-17702,177027837172223,1,0,6,3,['1'],"['1', '2']"
78224-80461,782242586776311,1,0,5,1,['0'],"['1', '3']"
78224-80461,804615195058405,1,0,6,1,"['1', '0']",['0']
48731-19341,487311398244690,1,0,5,1,['4'],"['1', '2']"
48731-19341,193410288267028,1,0,5,1,"['0', '2']","['1', '3']"
31989-91451,914513509446705,1,0,5,1,['2'],['0']
31989-91451,319892609235566,1,0,5,2,['3'],"['0', '1', '2']"
34740-36405,364054596311978,0,0,1,1,['4'],['4']
34740-36405,347405334682501,1,1,6,1,['4'],['4']
40966-98179,409668631486306,1,1,5,1,"['1', '3']","['0', '2']"
40966-98179,981795797811418,1,0,2,1,['2'],"['3', '1', '0']"
65341-70195,701956199806898,1,1,4,1,"['0', '2']",['1']
65341-70195,653417087265915,1,1,2,1,"['0', '3', '2']","['0', '3', '2']"
71778-53017,530175649915504,1,0,4,1,"['2', '0']",['1']
71778-53017,717785663593607,1,0,6,1,['4'],['3']
