Dyad,Player,Stage,Round,Score
37274-37274,372743934940426,3,1,3
37274-37274,372743934940426,3,2,4
37274-37274,372743934940426,3,3,2
37274-37274,372743934940426,3,4,3
37274-37274,372743934940426,3,5,0
37274-37274,372743934940426,3,6,0
37274-37274,372743934940426,3,7,2
37274-37274,372743934940426,3,8,0
37274-37274,372743934940426,3,9,0
37274-37274,372743934940426,3,10,0
37274-37274,372743934940426,3,11,0
37274-37274,372743934940426,3,12,0
37274-37274,372743934940426,3,13,0
37274-37274,372743934940426,3,14,0
37274-37274,372743934940426,3,15,0
37274-37274,372743934940426,3,16,0
37274-37274,372743934940426,3,17,0
37274-37274,372743934940426,3,18,0
37274-37274,372743934940426,3,19,0
37274-37274,372743934940426,3,20,0
32998-32998,329989901291694,3,1,4
32998-32998,329989901291694,3,2,2
32998-32998,329989901291694,3,3,3
32998-32998,329989901291694,3,4,0
32998-32998,329989901291694,3,5,3
32998-32998,329989901291694,3,6,2
32998-32998,329989901291694,3,7,2
32998-32998,329989901291694,3,8,1
32998-32998,329989901291694,3,9,2
32998-32998,329989901291694,3,10,1
32998-32998,329989901291694,3,11,2
32998-32998,329989901291694,3,12,4
32998-32998,329989901291694,3,13,2
32998-32998,329989901291694,3,14,4
32998-32998,329989901291694,3,15,1
32998-32998,329989901291694,3,16,3
32998-32998,329989901291694,3,17,3
32998-32998,329989901291694,3,18,4
32998-32998,329989901291694,3,19,3
32998-32998,329989901291694,3,20,2
35194-35194,351943230297876,3,1,1
35194-35194,351943230297876,3,2,4
35194-35194,351943230297876,3,3,1
35194-35194,351943230297876,3,4,2
35194-35194,351943230297876,3,5,0
35194-35194,351943230297876,3,6,1
35194-35194,351943230297876,3,7,3
35194-35194,351943230297876,3,8,2
35194-35194,351943230297876,3,9,2
35194-35194,351943230297876,3,10,2
35194-35194,351943230297876,3,11,2
35194-35194,351943230297876,3,12,0
35194-35194,351943230297876,3,13,3
35194-35194,351943230297876,3,14,0
35194-35194,351943230297876,3,15,1
35194-35194,351943230297876,3,16,3
35194-35194,351943230297876,3,17,3
35194-35194,351943230297876,3,18,3
35194-35194,351943230297876,3,19,5
35194-35194,351943230297876,3,20,4
94864-94864,948641619154844,3,1,2
94864-94864,948641619154844,3,2,3
94864-94864,948641619154844,3,3,1
94864-94864,948641619154844,3,4,2
94864-94864,948641619154844,3,5,0
94864-94864,948641619154844,3,6,1
94864-94864,948641619154844,3,7,1
94864-94864,948641619154844,3,8,1
94864-94864,948641619154844,3,9,1
94864-94864,948641619154844,3,10,2
94864-94864,948641619154844,3,11,3
94864-94864,948641619154844,3,12,2
94864-94864,948641619154844,3,13,4
94864-94864,948641619154844,3,14,4
94864-94864,948641619154844,3,15,4
94864-94864,948641619154844,3,16,3
94864-94864,948641619154844,3,17,0
94864-94864,948641619154844,3,18,4
94864-94864,948641619154844,3,19,1
94864-94864,948641619154844,3,20,1
78928-78928,789284786593963,3,1,1
78928-78928,789284786593963,3,2,5
78928-78928,789284786593963,3,3,4
78928-78928,789284786593963,3,4,1
78928-78928,789284786593963,3,5,4
78928-78928,789284786593963,3,6,3
78928-78928,789284786593963,3,7,2
78928-78928,789284786593963,3,8,4
78928-78928,789284786593963,3,9,4
78928-78928,789284786593963,3,10,2
78928-78928,789284786593963,3,11,0
78928-78928,789284786593963,3,12,3
78928-78928,789284786593963,3,13,2
78928-78928,789284786593963,3,14,2
78928-78928,789284786593963,3,15,4
78928-78928,789284786593963,3,16,4
78928-78928,789284786593963,3,17,3
78928-78928,789284786593963,3,18,4
78928-78928,789284786593963,3,19,4
78928-78928,789284786593963,3,20,2
81546-81546,815463023207709,3,1,2
81546-81546,815463023207709,3,2,2
81546-81546,815463023207709,3,3,1
81546-81546,815463023207709,3,4,2
81546-81546,815463023207709,3,5,1
81546-81546,815463023207709,3,6,5
81546-81546,815463023207709,3,7,4
81546-81546,815463023207709,3,8,3
81546-81546,815463023207709,3,9,3
81546-81546,815463023207709,3,10,2
81546-81546,815463023207709,3,11,2
81546-81546,815463023207709,3,12,3
81546-81546,815463023207709,3,13,3
81546-81546,815463023207709,3,14,1
81546-81546,815463023207709,3,15,2
81546-81546,815463023207709,3,16,4
81546-81546,815463023207709,3,17,3
81546-81546,815463023207709,3,18,3
81546-81546,815463023207709,3,19,3
81546-81546,815463023207709,3,20,2
90033-90033,900332096701954,3,1,2
90033-90033,900332096701954,3,2,5
90033-90033,900332096701954,3,3,1
90033-90033,900332096701954,3,4,3
90033-90033,900332096701954,3,5,4
90033-90033,900332096701954,3,6,4
90033-90033,900332096701954,3,7,4
90033-90033,900332096701954,3,8,3
90033-90033,900332096701954,3,9,5
90033-90033,900332096701954,3,10,2
90033-90033,900332096701954,3,11,3
90033-90033,900332096701954,3,12,3
90033-90033,900332096701954,3,13,5
90033-90033,900332096701954,3,14,2
90033-90033,900332096701954,3,15,2
90033-90033,900332096701954,3,16,4
90033-90033,900332096701954,3,17,5
90033-90033,900332096701954,3,18,3
90033-90033,900332096701954,3,19,2
90033-90033,900332096701954,3,20,3
