Dyad,Player,typeOfObject,Label
15850-11039,11039204540670,dup,zal
15850-11039,11039204540670,xol,xol
15850-11039,11039204540670,Otro-R-B-Vimp-Himp,xol
15850-11039,11039204540670,Otro-R-B-Vpar-Hpar,dup
15850-11039,11039204540670,Otro-A-G-Vpar-Himp,zal
15850-11039,11039204540670,Otro-R-B-Vimp-Himp,xol
15850-11039,11039204540670,xol,xol
15850-11039,11039204540670,dup,dup
15850-11039,11039204540670,dup,dup
15850-11039,11039204540670,Otro-A-G-Vimp-Hpar,zal
15850-11039,11039204540670,dup,dup
15850-11039,11039204540670,dup,dup
15850-11039,11039204540670,Otro-R-B-Vimp-Himp,zal
15850-11039,11039204540670,Otro-R-B-Vpar-Hpar,zal
15850-11039,11039204540670,xol,xol
